precision,recall
0.5080213903743316,1.0
0.510752688172043,1.0
0.5135135135135135,1.0
0.5163043478260869,1.0
0.5191256830601093,1.0
0.521978021978022,1.0
0.5248618784530387,1.0
0.5277777777777778,1.0
0.5307262569832403,1.0
0.5337078651685393,1.0
0.536723163841808,1.0
0.5397727272727273,1.0
0.5428571428571428,1.0
0.5459770114942529,1.0
0.5491329479768786,1.0
0.5523255813953488,1.0
0.5555555555555556,1.0
0.5588235294117647,1.0
0.5621301775147929,1.0
0.5654761904761905,1.0
0.5688622754491018,1.0
0.572289156626506,1.0
0.5757575757575758,1.0
0.5792682926829268,1.0
0.5828220858895705,1.0
0.5864197530864198,1.0
0.5900621118012422,1.0
0.59375,1.0
0.5974842767295597,1.0
0.6012658227848101,1.0
0.6050955414012739,1.0
0.6089743589743589,1.0
0.6129032258064516,1.0
0.6168831168831169,1.0
0.6209150326797386,1.0
0.625,1.0
0.6291390728476821,1.0
0.6333333333333333,1.0
0.6375838926174496,1.0
0.6418918918918919,1.0
0.6462585034013606,1.0
0.6506849315068494,1.0
0.6551724137931034,1.0
0.6597222222222222,1.0
0.6643356643356644,1.0
0.6690140845070423,1.0
0.6737588652482269,1.0
0.6785714285714286,1.0
0.6834532374100719,1.0
0.6884057971014492,1.0
0.6934306569343066,1.0
0.6985294117647058,1.0
0.7037037037037037,1.0
0.7089552238805971,1.0
0.7142857142857143,1.0
0.7196969696969697,1.0
0.7251908396946565,1.0
0.7307692307692307,1.0
0.7364341085271318,1.0
0.7421875,1.0
0.7480314960629921,1.0
0.753968253968254,1.0
0.76,1.0
0.7661290322580645,1.0
0.7723577235772358,1.0
0.7786885245901639,1.0
0.7851239669421488,1.0
0.7916666666666666,1.0
0.7983193277310925,1.0
0.8050847457627118,1.0
0.811965811965812,1.0
0.8189655172413793,1.0
0.8260869565217391,1.0
0.8333333333333334,1.0
0.8407079646017699,1.0
0.8482142857142857,1.0
0.8558558558558559,1.0
0.8636363636363636,1.0
0.8715596330275229,1.0
0.8796296296296297,1.0
0.8878504672897196,1.0
0.8962264150943396,1.0
0.9047619047619048,1.0
0.9134615384615384,1.0
0.9223300970873787,1.0
0.9313725490196079,1.0
0.9405940594059405,1.0
0.95,1.0
0.9595959595959596,1.0
0.9591836734693877,0.9894736842105263
0.9587628865979382,0.9789473684210527
0.9583333333333334,0.968421052631579
0.9578947368421052,0.9578947368421052
0.9574468085106383,0.9473684210526315
0.956989247311828,0.9368421052631579
0.9565217391304348,0.9263157894736842
0.9560439560439561,0.9157894736842105
0.9666666666666667,0.9157894736842105
0.9662921348314607,0.9052631578947369
0.9772727272727273,0.9052631578947369
0.9885057471264368,0.9052631578947369
0.9883720930232558,0.8947368421052632
0.9882352941176471,0.8842105263157894
0.9880952380952381,0.8736842105263158
0.9879518072289156,0.8631578947368421
0.9878048780487805,0.8526315789473684
0.9876543209876543,0.8421052631578947
0.9875,0.8315789473684211
0.9873417721518988,0.8210526315789474
0.9871794871794872,0.8105263157894737
0.987012987012987,0.8
0.9868421052631579,0.7894736842105263
0.9866666666666667,0.7789473684210526
0.9864864864864865,0.7684210526315789
0.9863013698630136,0.7578947368421053
0.9861111111111112,0.7473684210526316
0.9859154929577465,0.7368421052631579
0.9857142857142858,0.7263157894736842
0.9855072463768116,0.7157894736842105
0.9852941176470589,0.7052631578947368
0.9850746268656716,0.6947368421052632
0.9848484848484849,0.6842105263157895
1.0,0.6842105263157895
1.0,0.6736842105263158
1.0,0.6631578947368421
1.0,0.6526315789473685
1.0,0.6421052631578947
1.0,0.631578947368421
1.0,0.6210526315789474
1.0,0.6105263157894737
1.0,0.6
1.0,0.5894736842105263
1.0,0.5789473684210527
1.0,0.5684210526315789
1.0,0.5578947368421052
1.0,0.5473684210526316
1.0,0.5368421052631579
1.0,0.5263157894736842
1.0,0.5052631578947369
1.0,0.49473684210526314
1.0,0.4842105263157895
1.0,0.4631578947368421
1.0,0.3894736842105263
1.0,0.0
